"","LUAD16T","LUAD18T","LUAD1T","LUAD23T","PDO1","PDO2","PDO4","PDO5","PDO6","PDO23_MDO1_DIAPH","PDO23_MDO1_Liver","PDO23_MDO2_Brain","PDO6_MDO_Brain","PDO23_MDO3_GB"
"RBM26-AS1",1.28764658743433,0.888704392496253,1.1296970853582,1.36223558684019,1.45673879683705,1.25225173710735,1.48634947086344,1.9889988142841,0.449544909986982,1.09833880655409,1.25458101193179,1.57889859934082,0.689193305671125,1.61018076358771
"TP73-AS1",4.68606509724516,4.198166524284,3.97449121196085,4.22134851070971,4.50313735610907,4.72679055039866,4.49108531358035,3.08856987577385,5.06515449653913,4.90724923768805,4.46246722410835,4.93439573383506,4.74351892139111,4.69099390661988
"DLG1-AS1",0,0,0.0922170564269868,0.201135845096346,0.488168160195462,0.23912638809339,0.552997758808423,0.992675205059607,0.791788096196525,0.623409594946634,1.31535958895164,0.159508906926231,0.347291062689573,0.665886729481227
"FTH1P16",0.214303737578328,0,0,0.895471522544919,0,0,0.18074113958517,0,0,3.43953317493096,3.24334436144869,2.45967156405676,0,2.62787081010944
"KIF9-AS1",0.485797447870976,0.849137510147227,0.992845713928934,1.11064650892402,1.77229801243983,1.01547890537092,2.22352001685503,1.05127512736504,1.22685859061948,1.68800281890795,1.28529034055559,1.88317433494408,1.89596037198313,1.92070482155644
"AC009299.3",1.86487907096905,1.84984992973458,1.98925522254202,2.21034987871973,3.03224524246638,3.0689093334727,2.53724056232831,3.51015806699649,2.01676198706833,2.55203390981672,2.15032565960491,0.952523697322758,2.28641319300656,2.16039750657921
"LINC00310",0.782951534914173,1.27949262141631,0.0922170564269868,0.292080411872763,0.417436450404331,0,0.18074113958517,1.16178404001305,0.449544909986982,1.32274803783638,0.737533578208407,0.766757354362589,0.626989737246253,0.665886729481227
"AKR1B15",0.111127408379756,0.679034348825582,0.338028909902841,3.80509307377196,0,0.23912638809339,0.18074113958517,0.11435274365209,6.09836632769948,5.07856885897591,3.35612356785189,4.31327929738521,6.80968837089429,4.09432535915031
"STK4-AS1",0.214303737578328,0.322441478100643,0.73124500635757,1.34109292121256,0.181701660739153,0.23912638809339,0.0931991317607424,0,0,0.926646780659146,1.01909745884322,0.369904400412676,0.267987837756502,1.2139519285834
"RP13-188A5.1",1.50673121452243,0.927215030252974,0.547992402258783,0.83626044090267,0.264634149728729,0.623710706299796,0.67861018563936,0.580083438551531,0.68647724220367,1.05729312151973,0.269428355484675,0.369904400412676,0.74882538202503,0.665886729481227
"SCAMP4",6.45743102789684,5.9426901014071,5.74968672316535,5.25460794770439,7.03629885857195,7.11115081151339,6.3088453844697,5.55800766667608,5.92978967389558,6.07516627181309,6.24494101128617,5.91899679739228,6.04990671839711,5.62899413281049
"RP1-249H1.4",0.714202004698451,0.433624868956674,0.73124500635757,0.534867683228122,0,0,0,0,0.0853361371976125,2.14510367511676,1.37368083085483,0.159508906926231,0,1.69973608042767
"LTB",7.30177837809596,5.92911546638474,7.63773582954146,3.12795676425737,0.343057352302592,1.63377540401715,0.67861018563936,0.992675205059607,0.791788096196525,0.163645184848627,0,0.369904400412676,0.861168450549343,0.52597597301481
"RP11-282K24.1",0,0,0,0.201135845096346,0,0,0,0,0,1.13824894568437,1.50993459001955,1.03714455769845,0,1.27350347646714
"SLC2A1-AS1",0.566017873131747,0.322441478100643,1.40608908448852,1.53974912250529,0.620007946788319,0.310770906596785,1.00071766274786,0.931593904246507,2.3965549633046,1.84094437889503,1.83456024736513,2.41293174867674,2.34555097067696,1.76343327257656
"RP11-152N13.5",1.3342060435687,0.86905659061768,1.63794748756545,1.11064650892402,0.264634149728729,0.56631896064778,0.61717064188862,0.498196142841656,0.572869514216453,1.17708468185663,1.91531319019909,0.664058973923471,1.06259048445337,0.752149387382662
"SPAG5-AS1",0.91133979923622,0.406621955237927,0.547992402258783,1.52107015476438,0.90491635121605,1.39094257431526,1.73797022208349,1.57518781983305,1.1497133397636,0,0.14099464510807,0.0819578074275928,1.92209842147554,0.134558978705204
"RP11-864N7.2",0.111127408379756,0.433624868956674,0.0922170564269868,1.44383764374999,0.417436450404331,0.163737218990037,0,0.11435274365209,0.242211890442732,2.36286895397532,2.6166525849233,2.29759655584651,0.493908040916376,2.60487162673189
